ID,Poll Title,Response
1,What is your gender?,Male
1,What is your party of registration?,Independent
1,Who are you voting for in this year's Presidential election?,Trump
1,Who do you prefer to control the House of Representatives?,Republicans
1,Who do you prefer to control the Senate?,Democrats
2,What is your gender?,Female
2,What is your age range?,40-59
2,What is your party of registration?,Republican
2,Who are you voting for in this year's Presidential election?,Trump
2,Who do you prefer to control the House of Representatives?,Republicans
2,Who do you prefer to control the Senate?,Democrats
3,What is your gender?,Female
3,What is your age range?,40-59
3,What is your party of registration?,Republican
3,Who are you voting for in this year's Presidential election?,Trump
3,Who do you prefer to control the House of Representatives?,Republicans
3,Who do you prefer to control the Senate?,Democrats
4,What is your gender?,Female
4,What is your age range?,40-59
4,What is your party of registration?,Republican
4,Who do you prefer to control the House of Representatives?,Republicans
4,Who do you prefer to control the Senate?,Democrats
5,What is your gender?,Female
5,What is your age range?,40-59
5,What is your party of registration?,Democrat
5,Who are you voting for in this year's Presidential election?,Clinton
5,Who do you prefer to control the House of Representatives?,Republicans
5,Who do you prefer to control the Senate?,Democrats
6,What is your gender?,Male
6,What is your age range?,under 40
6,What is your party of registration?,Democrat
6,Who are you voting for in this year's Presidential election?,Clinton
6,Who do you prefer to control the House of Representatives?,Republicans
6,Who do you prefer to control the Senate?,Democrats
7,What is your gender?,Male
7,What is your age range?,over 60
7,Who are you voting for in this year's Presidential election?,Other
7,Who do you prefer to control the House of Representatives?,Republicans
7,Who do you prefer to control the Senate?,Republicans
8,What is your gender?,Male
8,What is your age range?,over 60
8,What is your party of registration?,Democrat
8,Who are you voting for in this year's Presidential election?,Other
8,Who do you prefer to control the House of Representatives?,Republicans
8,Who do you prefer to control the Senate?,Republicans
9,What is your gender?,Male
9,What is your age range?,over 60
9,What is your party of registration?,Independent
9,Who are you voting for in this year's Presidential election?,Other
9,Who do you prefer to control the House of Representatives?,Democrats
9,Who do you prefer to control the Senate?,Republicans
10,What is your gender?,Male
10,What is your age range?,over 60
10,What is your party of registration?,Independent
10,Who are you voting for in this year's Presidential election?,Clinton
10,Who do you prefer to control the House of Representatives?,Democrats
10,Who do you prefer to control the Senate?,Republicans
